HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2457007.73625,2014-12-16.2323769,be,1.49,17.075,>17.075,99.990,0.440,0.113,V
2457009.72522,2014-12-18.2212062,be,1.45,16.827,>16.827,99.990,0.427,0.143,V
2457009.72664,2014-12-18.2226221,be,1.45,16.907,>16.907,99.990,0.153,0.133,V
2457009.74011,2014-12-18.2360940,bf,1.48,16.882,>16.882,99.990,0.363,0.136,V
2457011.73317,2014-12-20.2290246,be,1.47,16.963,>16.963,99.990,0.454,0.126,V
2457011.73460,2014-12-20.2304537,be,1.48,16.816,>16.816,99.990,0.598,0.144,V
2457011.73748,2014-12-20.2333291,bf,1.44,16.801,>16.801,99.990,0.456,0.146,V
2457013.73076,2014-12-22.2264938,be,1.45,16.946,>16.946,99.990,0.219,0.128,V
2457014.73549,2014-12-23.2311484,be,1.48,16.831,>16.831,99.990,0.271,0.142,V
2457014.73691,2014-12-23.232575,be,1.45,16.987,>16.987,99.990,0.336,0.123,V
2457016.73417,2014-12-25.2297087,be,1.45,16.807,>16.807,99.990,0.510,0.145,V
2457016.73559,2014-12-25.2311265,be,1.45,16.842,>16.842,99.990,0.588,0.141,V
2457020.70584,2014-12-29.2011547,be,1.62,16.916,>16.916,99.990,0.305,0.131,V
2457020.70728,2014-12-29.2025960,be,1.69,16.846,>16.846,99.990,0.454,0.140,V
2457020.72758,2014-12-29.2228934,bf,1.53,16.763,>16.763,99.990,0.538,0.151,V
2457031.58702,2015-01-09.0818284,be,1.50,16.543,>16.543,99.990,0.280,0.185,V
2457031.58844,2015-01-09.0832403,be,1.49,16.478,>16.478,99.990,0.433,0.197,V
2457031.60982,2015-01-09.1046184,be,1.47,16.299,>16.299,99.990,0.660,0.232,V
2457032.60126,2015-01-10.0960252,bf,1.54,16.659,>16.659,99.990,0.076,0.167,V
2457034.71354,2015-01-12.2082285,be,1.63,16.603,>16.603,99.990,0.220,0.175,V
2457034.71497,2015-01-12.2096596,be,1.48,16.676,>16.676,99.990,0.463,0.164,V
2457034.94122,2015-01-12.4359001,ba,1.62,16.870,>16.870,99.990,0.476,0.137,V
2457034.94261,2015-01-12.4372947,ba,1.62,16.967,>16.967,99.990,0.595,0.125,V
2457036.74444,2015-01-14.2390622,be,1.55,16.882,>16.882,99.990,0.396,0.136,V
2457036.74586,2015-01-14.2404848,be,1.51,17.060,>17.060,99.990,0.267,0.115,V
2457036.83624,2015-01-14.3308613,bf,1.44,16.580,>16.580,99.990,0.265,0.179,V
2457038.71451,2015-01-16.2090747,be,1.52,16.954,>16.954,99.990,0.401,0.127,V
2457038.71593,2015-01-16.2104912,be,1.52,16.923,>16.923,99.990,0.355,0.131,V
